State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Rural_Households,Total_Power_Parity,Urban_Households,Female_Workers,Male_Workers,Total_Education,Literate_Education,Illiterate_Education,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Rural_Households,Urban_Households,sex_ratio,literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,5512,597466,4181,220248,574728,748939,2377632,1346992,1030640,232470,344167,281752,225957,143143,100226,19277,2399901,275970,15422,1377,25510,617,322,22120,1536378,704551,422522,77788,597466,220248,100.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,8606,902997,5799,341431,827622,1208544,3795998,2426929,1369069,462273,720357,582075,331793,162175,144915,23341,3599372,443456,20463,932,341,1417,309,14858,2189396,1104565,739612,47575,902997,341431,98.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,13763,907970,5926,395900,731134,1202223,4233948,3062955,1170993,522961,770836,673197,548336,265199,246409,36017,3737588,397870,24129,867,253,1322,358,11677,2148179,1159053,807430,59402,907970,395900,100.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,22411,1199479,7211,406362,547850,1545831,5043222,3518619,1524603,669420,947606,797497,521562,271809,263023,47702,4983330,77777,77825,738,413,4149,403,9661,2724328,1478954,948122,2892,1199479,406362,101.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,19383,1069877,6981,513113,939254,1442370,4683615,3209266,1474349,736270,845810,674957,453446,246580,221924,30279,4217597,559770,89763,764,323,3282,332,15982,2583462,1371811,928462,4078,1069877,513113,100.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,149034,0,11071,1066289,367712,1045585,4002623,3445721,556902,230962,596591,685215,811501,517425,558090,45937,2046051,1713405,87522,11446,1268,19560,1929,62142,2249130,1068243,542669,83281,0,1066289,95.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,8831,877236,5251,288044,827305,1049463,3605953,2325560,1280393,340372,453505,482842,463403,293493,256633,35312,3491139,244723,24979,2086,332,312,115,12583,1940234,1031735,728494,75806,877236,288044,101.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,8628,669262,3836,201363,607156,802906,2426504,1551232,875272,295639,346118,329630,238811,154774,160804,25456,2595321,158887,33463,655,217,459,539,7829,1530602,774583,477955,14230,669262,201363,101.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,30438,909292,6983,567042,721581,1327299,4521927,3169428,1352499,618101,692968,630603,531821,312753,328454,54728,4023678,307043,145598,1393,863,6320,906,31597,2340943,1284630,833959,57866,909292,567042,99.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,10081,783853,5301,306982,865303,1164122,3738218,2220285,1517933,521327,672951,466940,271828,152453,115504,19282,3328380,670737,33165,737,255,2235,434,17520,2368684,1053618,609027,22134,783853,306982,99.0,52.0
